Quote,Author
Believe you can and you're halfway there.,Theodore Roosevelt
It always seems impossible until it's done.,Nelson Mandela
Success is not the key to happiness. Happiness is the key to success.,Albert Schweitzer
Don't watch the clock; do what it does. Keep going.,Sam Levenson
The only way to do great work is to love what you do.,Steve Jobs
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
It does not matter how slowly you go as long as you do not stop.,Confucius
"Success is not final, failure is not fatal: It is the courage to continue that counts.",Winston Churchill
Hardships often prepare ordinary people for an extraordinary destiny.,C.S. Lewis
The only limit to our realization of tomorrow is our doubts of today.,Franklin D. Roosevelt
Everything you've ever wanted is on the other side of fear.,George Addair
"Opportunities don't happen, you create them.",Chris Grosser
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,Roy T. Bennett
Success usually comes to those who are too busy to be looking for it.,Henry David Thoreau
"Do not wait to strike till the iron is hot, but make it hot by striking.",William Butler Yeats
Start where you are. Use what you have. Do what you can.,Arthur Ashe
"Success is the sum of small efforts, repeated day in and day out.",Robert Collier
Act as if what you do makes a difference. It does.,William James
"Success is not in what you have, but who you are.",Bo Bennett
